arch_config,gpu latency,flops,params,top1
"{'wid': None, 'ks': [7, 3, 5, 5, 3, 7, 5, 3, 7, 5, 5, 5, 7, 7, 3, 5, 3, 7, 7, 7], 'e': [3, 4, 4, 6, 6, 4, 3, 4, 3, 6, 6, 3, 6, 6, 4, 4, 3, 4, 6, 3], 'd': [2, 2, 2, 3, 4], 'r': [192]}",25.4479,271700192,7474640,78.33333333
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 7, 5, 3, 5, 3, 3, 7, 5, 7, 3, 5, 5, 7, 3, 3], 'e': [6, 6, 6, 6, 4, 6, 4, 4, 6, 6, 6, 4, 3, 6, 6, 4, 4, 6, 3, 3], 'd': [2, 2, 2, 3, 4], 'r': [208]}",37.584,389697056,7443728,79.375
"{'wid': None, 'ks': [5, 5, 3, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [6, 4, 4, 4, 3, 3, 3, 4, 6, 4, 6, 6, 6, 4, 4, 6, 4, 4, 3, 3], 'd': [2, 2, 2, 3, 4], 'r': [224]}",34.7654,347801120,6416288,79.58333333
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 7, 7, 5, 7, 7, 7, 7, 3, 7, 3, 7, 3, 7, 5, 7], 'e': [4, 4, 6, 3, 4, 3, 3, 4, 3, 3, 6, 4, 6, 4, 4, 4, 3, 6, 3, 3], 'd': [2, 2, 2, 4, 2], 'r': [160]}",19.1446,179442400,6368400,76.97916667
"{'wid': None, 'ks': [7, 3, 5, 7, 3, 5, 7, 5, 7, 3, 5, 3, 7, 5, 5, 7, 5, 3, 7, 5], 'e': [3, 4, 3, 6, 3, 6, 4, 6, 4, 6, 6, 4, 3, 6, 6, 3, 6, 4, 3, 4], 'd': [2, 2, 2, 4, 2], 'r': [176]}",21.9997,228924832,6545840,78.02083333
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 3, 5, 5, 5, 7, 7, 7, 7, 3, 5, 7, 7], 'e': [4, 6, 3, 6, 3, 4, 4, 4, 4, 4, 6, 3, 3, 3, 6, 4, 3, 6, 6, 3], 'd': [2, 2, 2, 4, 2], 'r': [192]}",28.0972,281050592,6378192,78.95833333
"{'wid': None, 'ks': [3, 7, 3, 7, 7, 7, 7, 3, 3, 7, 5, 5, 3, 7, 3, 3, 7, 5, 7, 7], 'e': [3, 3, 4, 3, 6, 3, 3, 3, 6, 6, 6, 4, 3, 4, 3, 6, 4, 6, 4, 6], 'd': [2, 2, 2, 4, 2], 'r': [208]}",30.1202,309795136,6523224,79.27083333
"{'wid': None, 'ks': [5, 7, 3, 3, 7, 5, 3, 7, 5, 3, 5, 7, 7, 3, 5, 3, 5, 5, 7, 7], 'e': [3, 3, 6, 4, 3, 3, 4, 4, 3, 3, 3, 4, 6, 3, 6, 4, 6, 3, 6, 3], 'd': [2, 2, 2, 4, 2], 'r': [224]}",32.4458,326435520,6141104,79.16666667
"{'wid': None, 'ks': [7, 7, 7, 5, 7, 7, 3, 7, 3, 3, 5, 3, 7, 7, 5, 5, 3, 5, 7, 5], 'e': [6, 4, 4, 4, 3, 4, 3, 6, 3, 3, 4, 6, 4, 4, 4, 3, 6, 6, 3, 6], 'd': [2, 2, 2, 4, 3], 'r': [160]}",21.2004,203201936,6919080,75.41666667
"{'wid': None, 'ks': [7, 5, 3, 3, 3, 3, 5, 5, 3, 5, 3, 3, 5, 7, 7, 7, 7, 5, 7, 5], 'e': [3, 4, 6, 3, 6, 6, 4, 4, 3, 4, 4, 6, 4, 6, 6, 3, 3, 3, 6, 3], 'd': [2, 2, 2, 4, 3], 'r': [176]}",23.9441,245913056,7188968,74.6875
