,time,train_ratio,args.mtl_ratio,test accuracy,max valid acc,train_loss,val_loss,best epoch,,,
lstm_512,2021031409021313,"[200, 200, 500]","[0, 1, 0, 0]","[0.5039478957915832, 0.8682004008016032, 0.2806933867735471, 0.4861362725450902]","[0.5023618090452261, 0.870251256281407, 0.2855527638190955, 0.48736180904522614]","tensor([1.9931, 0.3462, 2.0541, 2.6761], device='cuda:0')","tensor([16.4065,  2.5754, 20.2665, 17.2035], device='cuda:0')",1
lstm_512,2021031409015353,"[400, 200, 500]","[0, 1, 0, 0]","[0.5949218436873748, 0.8646813627254509, 0.6155831663326653, 0.5222044088176353]","[0.590427135678392, 0.8732412060301508, 0.6273366834170854, 0.5230150753768844]","tensor([2.0785, 0.1569, 2.0534, 2.2826], device='cuda:0')","tensor([15.2115,  2.6424, 18.3452, 16.1124], device='cuda:0')",8
lstm_256,2021031410053838,"[200, 200, 500]","[1, 0, 0, 0]","[0.9687094188376754, 0.6314348697394789, 0.3927735470941884, 0.4529619238476954]","[0.968819095477387, 0.6286683417085427, 0.39678391959799, 0.43092964824120605]","tensor([0.0110, 2.0990, 2.0169, 2.6665], device='cuda:0')","tensor([ 0.3276, 13.6270, 20.0348, 17.4931], device='cuda:0')",23
lstm_256,2021031410054747,"[400, 200, 500]","[1, 0, 0, 0]","[0.9751663326653307, 0.5001963927855712, 0.5, 0.4924128256513026]","[0.9784422110552764, 0.5075125628140703, 0.5, 0.4927889447236181]","tensor([0.0082, 2.2250, 2.2038, 2.3336], device='cuda:0')","tensor([ 0.2176, 15.3319, 19.4072, 16.4388], device='cuda:0')",19
lstm_256,2021031410052626,"[100, 200, 500]","[1, 0, 0, 0]","[0.9629939879759519, 0.5160961923847696, 0.48611623246492985, 0.5074669338677354]","[0.9677386934673367, 0.512713567839196, 0.4912562814070352, 0.49756281407035174]","tensor([0.0045, 2.4604, 2.4731, 2.3037], device='cuda:0')","tensor([ 0.2544, 15.4605, 23.6079, 16.5114], device='cuda:0')",33
lstm_64_test,2021031410062020,"[400, 200, 500]","[1, 0, 0, 0]","[0.9734589178356713, 0.5300721442885772, 0.7442605210420842, 0.6107214428857716]","[0.9780653266331658, 0.5371105527638191, 0.7434422110552764, 0.6147738693467336]","tensor([0.0065, 2.4638, 1.5522, 2.0554], device='cuda:0')","tensor([ 0.1656, 16.7665, 14.0103, 14.5776], device='cuda:0')",23
lstm_256,2021031410051212,"[50, 200, 500]","[1, 0, 0, 0]","[0.9473587174348698, 0.5674188376753507, 0.49827655310621244, 0.500060120240481]","[0.950502512562814, 0.5586683417085427, 0.49728643216080404, 0.5000251256281407]","tensor([1.1637e-03, 1.9210e+00, 1.9695e+00, 2.3933e+00], device='cuda:0')","tensor([ 0.3670, 15.5893, 21.1852, 16.0600], device='cuda:0')",96

lstm_64,2021031411035151,"[400, 200, 500]","[1, 0, 0, 0]","[0.9739599198396793, 0.6910060120240481, 0.5027374749498998, 0.49407214428857715]","[0.9779899497487438, 0.6861557788944723, 0.5012562814070352, 0.4913065326633166]","tensor([0.0064, 1.8597, 2.2867, 2.6175], device='cuda:0')","tensor([ 0.1879, 12.4130, 20.0559, 18.8597], device='cuda:0')",23
lstm_64,2021031411040505,"[200, 200, 500]","[1, 0, 0, 0]","[0.9702845691382765, 0.4785490981963928, 0.7079919839679358, 0.5079478957915832]","[0.9719849246231156, 0.48773869346733667, 0.7220603015075376, 0.5054020100502512]","tensor([0.0037, 2.4147, 1.4766, 2.5254], device='cuda:0')","tensor([ 0.2915, 15.9475, 14.7467, 16.7472], device='cuda:0')",50
